id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
327969,583,6/17/2014 16:23,Embarcadero at Folsom,51,6/17/2014 16:33,Washington at Kearny,46,493,Subscriber,94133
888506,614,8/13/2015 12:37,Harry Bridges Plaza (Ferry Building),50,8/13/2015 12:47,2nd at Townsend,61,292,Subscriber,94301
267534,611,5/1/2014 7:54,2nd at South Park,64,5/1/2014 8:05,Mechanics Plaza (Market at Battery),75,359,Subscriber,94107
538425,585,11/10/2014 18:11,Clay at Battery,41,11/10/2014 18:21,Powell at Post (Union Square),71,527,Customer,94102
99693,479,11/18/2013 8:34,Temporary Transbay Terminal (Howard at Beale),55,11/18/2013 8:42,San Francisco Caltrain 2 (330 Townsend),69,608,Subscriber,94107
334681,290,6/23/2014 6:23,Harry Bridges Plaza (Ferry Building),50,6/23/2014 6:28,Commercial at Montgomery,45,534,Subscriber,94925
913230,395,8/31/2015 18:48,Mechanics Plaza (Market at Battery),75,8/31/2015 18:55,Powell Street BART,39,469,Subscriber,94103
803567,627,6/11/2015 17:28,Beale at Market,56,6/11/2015 17:39,San Francisco Caltrain 2 (330 Townsend),69,594,Subscriber,94107
196134,571,2/25/2014 19:24,Broadway St at Battery St,82,2/25/2014 19:33,Powell at Post (Union Square),71,576,Subscriber,94109
735559,419,4/22/2015 5:23,Grant Avenue at Columbus Avenue,73,4/22/2015 5:30,Post at Kearny,47,672,Subscriber,94133
276494,97,5/8/2014 8:46,Steuart at Market,74,5/8/2014 8:48,Embarcadero at Folsom,51,361,Subscriber,94044
39817,461,9/30/2013 8:34,Steuart at Market,74,9/30/2013 8:42,2nd at Townsend,61,400,Subscriber,94606
34433,5779,9/25/2013 12:42,2nd at South Park,64,9/25/2013 14:18,2nd at South Park,64,335,Subscriber,94107
815225,804,6/20/2015 11:37,Townsend at 7th,65,6/20/2015 11:50,Yerba Buena Center of the Arts (3rd @ Howard),68,362,Subscriber,94107
680425,434,3/13/2015 9:12,San Francisco Caltrain 2 (330 Townsend),69,3/13/2015 9:20,Howard at 2nd,63,617,Subscriber,94062
731485,841,4/18/2015 21:31,Washington at Kearny,46,4/18/2015 21:45,Washington at Kearny,46,483,Customer,90032
650475,348,2/19/2015 16:57,2nd at Townsend,61,2/19/2015 17:03,Harry Bridges Plaza (Ferry Building),50,619,Subscriber,94903
689772,302,3/19/2015 17:35,Howard at 2nd,63,3/19/2015 17:40,Harry Bridges Plaza (Ferry Building),50,407,Subscriber,94115
62045,1851,10/17/2013 13:15,Harry Bridges Plaza (Ferry Building),50,10/17/2013 13:46,Embarcadero at Vallejo,48,493,Customer,95380
375997,313,7/23/2014 9:05,Mezes Park,83,7/23/2014 9:10,Redwood City Caltrain Station,22,642,Subscriber,94063
542770,241,11/13/2014 9:10,San Antonio Caltrain Station,29,11/13/2014 9:14,San Antonio Shopping Center,31,183,Subscriber,94133
666973,246,3/4/2015 8:41,Steuart at Market,74,3/4/2015 8:45,Embarcadero at Vallejo,48,483,Subscriber,94708
427572,499,8/27/2014 16:55,Powell Street BART,39,8/27/2014 17:04,Mechanics Plaza (Market at Battery),75,619,Subscriber,94103
677210,417,3/11/2015 12:25,Market at 10th,67,3/11/2015 12:32,Townsend at 7th,65,517,Subscriber,94133
389868,777,8/1/2014 8:43,San Francisco Caltrain (Townsend at 4th),70,8/1/2014 8:56,Embarcadero at Vallejo,48,546,Subscriber,94025
679232,827,3/12/2015 16:17,Commercial at Montgomery,45,3/12/2015 16:31,San Francisco Caltrain (Townsend at 4th),70,877,Subscriber,95110
416761,712,8/20/2014 11:43,2nd at South Park,64,8/20/2014 11:55,Market at 10th,67,427,Subscriber,94501
793088,204,6/3/2015 20:32,Market at 4th,76,6/3/2015 20:35,Howard at 2nd,63,371,Subscriber,94105
247446,275,4/14/2014 12:48,San Salvador at 1st,8,4/14/2014 12:52,MLK Library,11,144,Subscriber,95113
288727,479,5/18/2014 12:04,Davis at Jackson,42,5/18/2014 12:12,Embarcadero at Bryant,54,375,Subscriber,94105
292125,413,5/20/2014 19:05,Ryland Park,84,5/20/2014 19:12,Santa Clara at Almaden,4,245,Customer,nil
261645,163,4/26/2014 10:21,Harry Bridges Plaza (Ferry Building),50,4/26/2014 10:24,Davis at Jackson,42,281,Subscriber,94105
110589,540,11/29/2013 8:38,Clay at Battery,41,11/29/2013 8:47,2nd at Folsom,62,427,Customer,30319
145014,352,1/7/2014 9:49,Harry Bridges Plaza (Ferry Building),50,1/7/2014 9:55,Embarcadero at Sansome,60,416,Subscriber,94103
816402,174,6/22/2015 8:34,Market at 4th,76,6/22/2015 8:37,5th at Howard,57,422,Subscriber,94103
909877,2524,8/28/2015 11:53,Embarcadero at Sansome,60,8/28/2015 12:35,Grant Avenue at Columbus Avenue,73,493,Customer,nil
546116,221,11/15/2014 17:57,San Francisco Caltrain 2 (330 Townsend),69,11/15/2014 18:01,Townsend at 7th,65,260,Subscriber,94107
828019,426,6/30/2015 9:13,San Francisco Caltrain (Townsend at 4th),70,6/30/2015 9:20,Temporary Transbay Terminal (Howard at Beale),55,559,Subscriber,94117
75561,7941,10/29/2013 9:48,Market at 4th,76,10/29/2013 12:01,Yerba Buena Center of the Arts (3rd @ Howard),68,407,Customer,
532072,387,11/6/2014 8:08,San Francisco Caltrain (Townsend at 4th),70,11/6/2014 8:14,Howard at 2nd,63,539,Subscriber,94062
656352,827,2/24/2015 16:54,Harry Bridges Plaza (Ferry Building),50,2/24/2015 17:08,San Francisco Caltrain 2 (330 Townsend),69,504,Subscriber,94010
327789,408,6/17/2014 13:34,Mechanics Plaza (Market at Battery),75,6/17/2014 13:41,Post at Kearny,47,412,Subscriber,95124
355898,381,7/9/2014 8:20,Powell at Post (Union Square),71,7/9/2014 8:26,Mechanics Plaza (Market at Battery),75,467,Subscriber,94102
457289,642,9/17/2014 10:15,Broadway St at Battery St,82,9/17/2014 10:25,Powell Street BART,39,507,Subscriber,94107
360583,311,7/11/2014 19:31,San Francisco Caltrain (Townsend at 4th),70,7/11/2014 19:36,2nd at Folsom,62,345,Subscriber,94107
344973,5300,6/30/2014 11:42,Market at Sansome,77,6/30/2014 13:11,Clay at Battery,41,405,Customer,60660
804670,350,6/12/2015 10:33,Embarcadero at Vallejo,48,6/12/2015 10:39,Clay at Battery,41,500,Subscriber,94925
139673,2300,1/1/2014 11:44,Washington at Kearney,46,1/1/2014 12:22,Embarcadero at Bryant,54,367,Customer,90026
258587,991,4/23/2014 11:40,Powell at Post (Union Square),71,4/23/2014 11:56,San Francisco Caltrain (Townsend at 4th),70,372,Customer,7407
47453,345,10/6/2013 6:45,5th at Howard,57,10/6/2013 6:51,2nd at Folsom,62,290,Subscriber,94103
793481,209,6/4/2015 8:21,San Antonio Shopping Center,31,6/4/2015 8:25,San Antonio Caltrain Station,29,183,Subscriber,94107
285711,641,5/15/2014 16:34,Embarcadero at Folsom,51,5/15/2014 16:44,5th at Howard,57,583,Subscriber,94103
568235,593,12/6/2014 14:55,Embarcadero at Sansome,60,12/6/2014 15:04,Embarcadero at Bryant,54,419,Customer,94133
891532,2012,8/15/2015 18:10,Grant Avenue at Columbus Avenue,73,8/15/2015 18:43,2nd at Townsend,61,429,Customer,94002
296500,357,5/23/2014 17:50,Steuart at Market,74,5/23/2014 17:56,Broadway St at Battery St,82,457,Subscriber,94133
72256,256,10/25/2013 16:43,San Jose Diridon Caltrain Station,2,10/25/2013 16:48,Santa Clara at Almaden,4,640,Customer,94158
908378,192,8/27/2015 16:03,San Antonio Shopping Center,31,8/27/2015 16:06,San Antonio Caltrain Station,29,197,Subscriber,94133
109914,85290,11/27/2013 16:14,Embarcadero at Sansome,60,11/28/2013 15:55,Embarcadero at Sansome,60,408,Customer,7026
171720,326,1/30/2014 19:00,Market at Sansome,77,1/30/2014 19:05,Davis at Jackson,42,435,Subscriber,94111
305697,1833,6/1/2014 11:37,Market at 10th,67,6/1/2014 12:07,Market at 10th,67,189,Customer,nil
615141,562,1/22/2015 18:41,2nd at Townsend,61,1/22/2015 18:50,Mechanics Plaza (Market at Battery),75,407,Subscriber,94103
675866,581,3/10/2015 16:54,2nd at South Park,64,3/10/2015 17:04,Harry Bridges Plaza (Ferry Building),50,552,Subscriber,94510
439634,444,9/5/2014 9:16,Market at Sansome,77,9/5/2014 9:23,2nd at South Park,64,320,Subscriber,94122
620344,229,1/27/2015 13:11,San Francisco Caltrain (Townsend at 4th),70,1/27/2015 13:15,2nd at Townsend,61,553,Subscriber,94107
727783,498,4/16/2015 7:53,2nd at Townsend,61,4/16/2015 8:01,Harry Bridges Plaza (Ferry Building),50,289,Subscriber,94002
609332,724,1/19/2015 8:23,Townsend at 7th,65,1/19/2015 8:35,5th at Howard,57,619,Subscriber,94042
190241,509,2/20/2014 9:01,San Francisco Caltrain (Townsend at 4th),70,2/20/2014 9:09,Howard at 2nd,63,420,Subscriber,94402
